,z_score,residual,residual_change,residual_volatility,residual_autocorrelation,half_life_estimate,rolling_r_squared,beta_1,beta_2,beta_1_stability,beta_2_stability,beta_stability,target_return_volatility,anchor_1_return_volatility,anchor_2_return_volatility,market_return,sector_return,target_anchor_1_correlation,target_anchor_2_correlation,anchor_correlation,correlation_stability,recent_drawdown,distance_from_moving_average,volume_shock
z_score,1.0,0.5552282194673088,0.4394134352243847,0.14306338947364577,-0.2555295056622226,-0.4697196103908525,0.31067115011421864,0.06140520883196946,0.19662663722023166,0.030868542424547746,-0.09300538291802556,-0.005304565428322697,0.37546092772421125,-0.3125150013662193,0.12145960660257044,0.4873722974724158,0.03290547341242486,0.1271369339366262,-0.09970620156753088,0.253954832491467,0.807057998364283,0.20886985855373286,0.09991198936794365,-0.10462506708066842
residual,0.5552282194673088,1.0,-0.17682015230246262,0.19843611611118797,-0.5252418200614132,-0.48035669888990185,-0.4570691125457437,0.4100058697445912,0.21842582770451455,-0.2389844411525774,-0.3609022157485229,-0.4105179388867927,-0.05924827264104194,0.19705230287342884,-0.35279930162397466,0.435619975967034,0.5747231900505563,-0.6046831760443673,0.29969011682650265,-0.22213542537644743,0.6455372711668952,-0.3742990457855994,-0.5850991602461977,0.20355855686477695
residual_change,0.4394134352243847,-0.17682015230246262,1.0,-0.46997961462651566,0.4169436022695067,0.26621657123675496,0.6526661786417939,-0.5407688420489795,-0.246522418574517,0.27300078251263704,-0.0972892661378115,0.2969570295324516,0.0689181573862223,-0.6165266586713892,0.7529794801498887,-0.006234399543310154,-0.5073705227251769,0.770295658953596,-0.77602576734345,0.6774506285568905,0.47031562051795295,0.02718305322191893,0.15662292920511908,-0.18366780337353278
residual_volatility,0.14306338947364577,0.19843611611118797,-0.46997961462651566,1.0,-0.7074485829126812,-0.7211080574415755,-0.13761766645587623,0.45689852830740824,0.5333693938670818,-0.16305776060384786,0.24902012852831182,-0.09407471682919095,-0.3047363955110363,-0.030874195188424183,-0.23943733276020385,0.023476709180910462,0.3448958525196742,-0.4919355153085463,0.4061430398500495,-0.375872387154582,0.11957050116513909,0.5986556554912176,0.32693862283501735,0.15945751512616937
residual_autocorrelation,-0.2555295056622226,-0.5252418200614132,0.4169436022695067,-0.7074485829126812,1.0,0.8962018042693005,0.5078909866774194,-0.2966934943318422,-0.5023874204465874,0.08773214190955211,0.251077844191125,0.20065119961205996,0.342874135364522,-0.4090570863532638,0.48719077175968345,-0.36684256988425773,-0.7318073334897288,0.7240640268139581,-0.35665786842533637,0.07051239551421905,-0.36273703757766934,-0.1042505116504276,0.23684590531201918,0.22513344311407663
half_life_estimate,-0.4697196103908525,-0.48035669888990185,0.26621657123675496,-0.7211080574415755,0.8962018042693005,1.0,0.21084145886401812,-0.12941232018645066,-0.4380075805671911,0.33151348087399696,0.05277294147013062,0.365463925645887,0.051401003195790655,-0.16420997298356213,0.3557193001799383,-0.6042237793389961,-0.5221717637200716,0.44803175455392896,-0.17128848278762,-0.07606469113657269,-0.4434285129749765,-0.2326243810122001,0.009819891518091641,0.2710740931525808
rolling_r_squared,0.31067115011421864,-0.4570691125457437,0.6526661786417939,-0.13761766645587623,0.5078909866774194,0.21084145886401812,1.0,-0.5825488156694726,-0.4567738240889996,0.17264060762363334,0.3196139960788061,0.35907518290139245,0.3902869032379442,-0.7250042676030964,0.4421401222938136,-0.15947957418980085,-0.6603517999421472,0.7903910671816009,-0.546877511761217,0.21679998012840992,-0.03469186136693905,0.38180807602458233,0.5435908050081102,0.14758232316583497
beta_1,0.06140520883196946,0.4100058697445912,-0.5407688420489795,0.45689852830740824,-0.2966934943318422,-0.12941232018645066,-0.5825488156694726,1.0,0.7078389226612776,-0.0027428375710247073,0.10043535953784463,-0.054968836052924186,-0.1668015433499437,0.23478294199027555,-0.15607454126265263,-0.08961598418040967,0.3171134051298505,-0.5680507711447194,0.7470713638947489,-0.49766954523032336,0.17517062058993546,0.2784174608901369,0.09231382776559675,0.1919300429168945
beta_2,0.19662663722023166,0.21842582770451455,-0.246522418574517,0.5333693938670818,-0.5023874204465874,-0.4380075805671911,-0.4567738240889996,0.7078389226612776,1.0,-0.07510063138712585,0.3244724362519764,-0.03134866185908153,-0.29315277911698917,0.2695441885023758,0.11838334537087129,0.2940848104604229,0.42008023644949105,-0.28923584672783736,0.4967232258138463,0.016325065592504233,0.3569101107445247,0.543294329727664,0.34948642686370873,-0.4256001859306989
beta_1_stability,0.030868542424547746,-0.2389844411525774,0.27300078251263704,-0.16305776060384786,0.08773214190955211,0.33151348087399696,0.17264060762363334,-0.0027428375710247073,-0.07510063138712585,1.0,-0.2675764783994182,0.9364613579427061,-0.14796312580895624,0.07761578722944817,-0.0020941202103485594,-0.5997042288730479,-0.010542945861456652,0.033463273885859124,0.1107595870179518,-0.05617695335450206,-0.07431755417584618,0.1889686751934754,0.028073686230914104,-0.0015830643836351407
beta_2_stability,-0.09300538291802556,-0.3609022157485229,-0.0972892661378115,0.24902012852831182,0.251077844191125,0.05277294147013062,0.3196139960788061,0.10043535953784463,0.3244724362519764,-0.2675764783994182,1.0,0.07377607379079808,0.07847813964604235,-0.07555643222679198,0.2128679255845381,0.1163146722156072,-0.05044206509023602,0.336721212724002,0.2547825485564676,-0.24377064206955296,-0.3388890412834615,0.6295706448620444,0.7157376136711789,-0.0661130578950887
beta_stability,-0.005304565428322697,-0.4105179388867927,0.2969570295324516,-0.09407471682919095,0.20065119961205996,0.365463925645887,0.35907518290139245,-0.054968836052924186,-0.03134866185908153,0.9364613579427061,0.07377607379079808,1.0,-0.1283513873434087,0.004426478603663446,0.09441135677348646,-0.5913036211818316,-0.06495899666422264,0.2008113925101301,0.1308502537728853,-0.11650285861224645,-0.209620301559201,0.407227062645549,0.2829598217811378,-0.01047347634567941
target_return_volatility,0.37546092772421125,-0.05924827264104194,0.0689181573862223,-0.3047363955110363,0.342874135364522,0.051401003195790655,0.3902869032379442,-0.1668015433499437,-0.29315277911698917,-0.14796312580895624,0.07847813964604235,-0.1283513873434087,1.0,-0.12049510411606273,-0.14673201732486962,0.3636056894182301,-0.40832724155962796,0.37763886190477175,-0.04080716489313641,0.1334091170810545,-0.055390294072352485,0.027749521611548544,0.23937177065370793,-0.10518602242068562
anchor_1_return_volatility,-0.3125150013662193,0.19705230287342884,-0.6165266586713892,-0.030874195188424183,-0.4090570863532638,-0.16420997298356213,-0.7250042676030964,0.23478294199027555,0.2695441885023758,0.07761578722944817,-0.07555643222679198,0.004426478603663446,-0.12049510411606273,1.0,-0.697546593168564,0.25935798556175926,0.7835759785866222,-0.6121696744942906,0.6623458603676816,-0.25289501872220826,-0.31290038017138644,-0.27433640795658903,-0.4260259312411034,-0.39239862385921076
anchor_2_return_volatility,0.12145960660257044,-0.35279930162397466,0.7529794801498887,-0.23943733276020385,0.48719077175968345,0.3557193001799383,0.4421401222938136,-0.15607454126265263,0.11838334537087129,-0.0020941202103485594,0.2128679255845381,0.09441135677348646,-0.14673201732486962,-0.697546593168564,1.0,-0.13422442920518227,-0.6325283885376323,0.7451013790830253,-0.6391478298068475,0.5729842267083702,0.34798933406884286,0.274144206012581,0.45920087881453087,-0.13332839233237617
market_return,0.4873722974724158,0.435619975967034,-0.006234399543310154,0.023476709180910462,-0.36684256988425773,-0.6042237793389961,-0.15947957418980085,-0.08961598418040967,0.2940848104604229,-0.5997042288730479,0.1163146722156072,-0.5913036211818316,0.3636056894182301,0.25935798556175926,-0.13422442920518227,1.0,0.3431878703725647,-0.005053926392094857,-0.007460767455281132,0.3884947922753303,0.42148062731565933,-0.10830217182933974,-0.08134796072447324,-0.5776000344047066
sector_return,0.03290547341242486,0.5747231900505563,-0.5073705227251769,0.3448958525196742,-0.7318073334897288,-0.5221717637200716,-0.6603517999421472,0.3171134051298505,0.42008023644949105,-0.010542945861456652,-0.05044206509023602,-0.06495899666422264,-0.40832724155962796,0.7835759785866222,-0.6325283885376323,0.3431878703725647,1.0,-0.7727054736996034,0.6329682082100593,-0.3553094586500731,0.0841409236407138,-0.16219094222717137,-0.47397597015623627,-0.18065530329159699
target_anchor_1_correlation,0.1271369339366262,-0.6046831760443673,0.770295658953596,-0.4919355153085463,0.7240640268139581,0.44803175455392896,0.7903910671816009,-0.5680507711447194,-0.28923584672783736,0.033463273885859124,0.336721212724002,0.2008113925101301,0.37763886190477175,-0.6121696744942906,0.7451013790830253,-0.005053926392094857,-0.7727054736996034,1.0,-0.683914388590846,0.5802002158983002,-0.006589754036986627,0.2375541464814257,0.5448418907676282,-0.2280096158181913
target_anchor_2_correlation,-0.09970620156753088,0.29969011682650265,-0.77602576734345,0.4061430398500495,-0.35665786842533637,-0.17128848278762,-0.546877511761217,0.7470713638947489,0.4967232258138463,0.1107595870179518,0.2547825485564676,0.1308502537728853,-0.04080716489313641,0.6623458603676816,-0.6391478298068475,-0.007460767455281132,0.6329682082100593,-0.683914388590846,1.0,-0.7385282886793408,-0.2592312807732645,0.2137041969032127,-0.01111953422031722,0.09915503500704041
anchor_correlation,0.253954832491467,-0.22213542537644743,0.6774506285568905,-0.375872387154582,0.07051239551421905,-0.07606469113657269,0.21679998012840992,-0.49766954523032336,0.016325065592504233,-0.05617695335450206,-0.24377064206955296,-0.11650285861224645,0.1334091170810545,-0.25289501872220826,0.5729842267083702,0.3884947922753303,-0.3553094586500731,0.5802002158983002,-0.7385282886793408,1.0,0.4415663974402222,-0.05531322984675329,0.10234927595189224,-0.7005994318261903
correlation_stability,0.807057998364283,0.6455372711668952,0.47031562051795295,0.11957050116513909,-0.36273703757766934,-0.4434285129749765,-0.03469186136693905,0.17517062058993546,0.3569101107445247,-0.07431755417584618,-0.3388890412834615,-0.209620301559201,-0.055390294072352485,-0.31290038017138644,0.34798933406884286,0.42148062731565933,0.0841409236407138,-0.006589754036986627,-0.2592312807732645,0.4415663974402222,1.0,-0.0065623788148851,-0.13001880951527262,-0.15559459565028533
recent_drawdown,0.20886985855373286,-0.3742990457855994,0.02718305322191893,0.5986556554912176,-0.1042505116504276,-0.2326243810122001,0.38180807602458233,0.2784174608901369,0.543294329727664,0.1889686751934754,0.6295706448620444,0.407227062645549,0.027749521611548544,-0.27433640795658903,0.274144206012581,-0.10830217182933974,-0.16219094222717137,0.2375541464814257,0.2137041969032127,-0.05531322984675329,-0.0065623788148851,1.0,0.9103401660125049,-0.14722368742022354
distance_from_moving_average,0.09991198936794365,-0.5850991602461977,0.15662292920511908,0.32693862283501735,0.23684590531201918,0.009819891518091641,0.5435908050081102,0.09231382776559675,0.34948642686370873,0.028073686230914104,0.7157376136711789,0.2829598217811378,0.23937177065370793,-0.4260259312411034,0.45920087881453087,-0.08134796072447324,-0.47397597015623627,0.5448418907676282,-0.01111953422031722,0.10234927595189224,-0.13001880951527262,0.9103401660125049,1.0,-0.17387069047747972
volume_shock,-0.10462506708066842,0.20355855686477695,-0.18366780337353278,0.15945751512616937,0.22513344311407663,0.2710740931525808,0.14758232316583497,0.1919300429168945,-0.4256001859306989,-0.0015830643836351407,-0.0661130578950887,-0.01047347634567941,-0.10518602242068562,-0.39239862385921076,-0.13332839233237617,-0.5776000344047066,-0.18065530329159699,-0.2280096158181913,0.09915503500704041,-0.7005994318261903,-0.15559459565028533,-0.14722368742022354,-0.17387069047747972,1.0
